"","X","ASR","num_gaps","scaffold_count","scaffold_N50","contig_count","contig_N50","gap_length","gap_length_per","CDSs","CDSs_model","CDSs_known","CDSs_fully_supported","CDSs_ab_initio","CDSs_model_per","CDSs_known_per","CDSs_fully_supported_per","CDSs_ab_initio_per","Length_mean_genes","Length_mean_transcripts","Length_mean_cds","Length_mean_exons","Length_mean_introns","Num_proteins","Num_transcripts","Num_proteins_hsapiens","Num_transcripts_hsapiens","Num_rnaseq_reads","Num_tissues","Num_runs","ASR_predicho","ASR_normalizado_division","ASR_normalizado_resta","ASR_normalizado_resta_min"
"1",0,5.32787686769236,347,102,106145001,21254,59462871,73600614,0.0269774973712362,97829,48540,48799,97048,155,0.496171891770334,0.498819368489916,0.992016682169909,0.00158439726461479,33074.6,3812.84,2051.09,482.807,6519.53,0,0,0,0,0,0,0,3.75559226610997,1.41865157082426,1.57228460158239,3.88256987127172
"2",1,3.70314418368335,506,706,88231837,1307,48231277,29864641,0.0119367253398803,63699,59448,4114,61895,918,0.933264258465596,0.0645850013344009,0.971679304227696,0.0144115292233787,50935.6,4056.51,2084.54,439.112,7640.43,58148,3619303,47060,0,12069331098,42,433,2.91746571060635,1.26930169914961,0.785678473077006,3.09596374276634
"3",2,3.54007912946825,43306,7678,108171978,50982,210702,101087183,0.0406395479761239,59172,58994,16,57173,889,0.996991820455621,0.000270398161292503,0.966217129723518,0.0150239978368147,44967.6,3343.34,2119.73,344.445,6754.2,208276,8993166,174117,8993046,3364726994,11,17,2.74256158114335,1.29079294109867,0.797517548324899,3.10780281801423
"4",3,2.00885508100059,253738,32,106310653,253769,28375,198136445,0.0740983565979097,36106,35979,0,32654,1591,0.99648257907273,0,0.904392621724921,0.0440646983880795,43555.6,3003.89,1820.67,308.562,5542.66,81967,1989647,45075,344947,8324786874,198,264,1.76240795378923,1.13983546016204,0.246447127211357,2.55673239690069
"5",4,2.22947246844498,180677,6450,17270019,187012,21250,183019268,0.0800139867911244,37971,37783,12,35170,1205,0.995048853072081,0.000316030654973532,0.926233177951595,0.0317347449369255,41982.8,3094.37,2002.99,279.875,5402.2,104813,8780884,51802,0,670954419,10,45,1.94584535936784,1.14576035434249,0.283627109077143,2.59391237876647
"6",5,1.80526037903107,25787,8094,150810825,8094,181061,42905630,0.0177336779341345,34558,34516,0,31467,1546,0.998784651889577,0,0.910556166444817,0.0447363852074773,40470.6,2280.31,1735.25,234.859,5240.15,71161,758492,62812,0,403656856,1,1,1.8018361681701,1.00190040078086,0.00342421086096345,2.31370948055029
"7",6,3.62057775618496,386,1958,103308737,1957,26402946,28162,1.01642693471175e-05,65084,50772,14167,63967,598,0.780099563640833,0.217672546247926,0.982837563763751,0.00918812611394506,39904.9,3932.2,2053.02,482.419,6987.83,98483,3319583,67352,0,8524329442,95,203,3.33829163802498,1.0845600530956,0.282286118159977,2.59257138784931
"8",7,2.90633505875174,121387,12169,122182240,133554,42877,104912766,0.0420285604986181,51779,51712,24,49170,1462,0.998706039127832,0.000463508372119971,0.949612777380791,0.0282353850016416,42906.8,2953.82,1911.76,314.058,6554.51,254677,100392,166881,0,1697796066,4,9,2.31935127799406,1.25308101723398,0.586983780757678,2.89726905044701
"9",8,3.71627278449179,6286,4701,87230776,4700,1502753,9435464,0.00376369822801775,61026,58838,1912,59602,648,0.964146429390751,0.0313309081375152,0.976665683479173,0.0106184249336348,39826.4,3805.62,2229.31,416.092,6094.25,0,0,0,0,0,0,0,3.09451314403728,1.20092325077131,0.621759640454516,2.93204491014385
"10",9,4.21788721473114,69,159,64250934,159,40716615,33679,1.43323252351076e-05,74854,74728,0,73276,868,0.998316723221204,0,0.978918962246507,0.0115959066983728,39170.2,3409.91,2034.31,388.097,7298.66,65282,0,65282,0,9134207560,37,107,3.18025995294422,1.32627120963062,1.03762726178692,3.34791253147626
"11",10,2.45428548054369,19800,15308,130230028,15307,310061,47192329,0.0163316126330518,52610,52434,0,51162,710,0.996654628397643,0,0.972476715453336,0.0134955331685991,47955.5,2847.54,1636.67,314.862,7121.27,215391,10539846,180592,9007415,88348496,1,2,2.94463456247388,0.833477101648149,-0.490349081930185,1.81993618775915
"12",11,3.90968930400601,244,2979,82346004,3267,46608966,34438797,0.0115903582795421,68172,62208,5768,67154,506,0.912515402217919,0.0846095171037963,0.985067183007686,0.00742240215924426,42085.5,3339.69,2093.71,374.472,7271.66,218406,12529703,182483,9014916,12841591966,45,442,3.43343460400743,1.13871086970543,0.476254699998586,2.78653996968792
"13",12,3.24496510475583,302,1250,104466507,1250,26764281,1636497,0.000610416134045131,54287,54075,0,52345,953,0.996094829332989,0,0.964227163040875,0.0175548473851935,43582.9,3414.3,2153.18,340.255,6674.18,52406,2065320,52350,0,9731777244,26,244,2.68352610098848,1.20921689696274,0.561439003767342,2.87172427345667
"14",13,2.52220206049146,3367,647,274391693,647,2711962,2424778,0.00102456806452182,84642,83488,339,76340,3688,0.986366106660996,0.0040051038491529,0.901916306325465,0.0435717492497814,29768.2,2852.82,1908.8,290.983,4350.29,96683,9034822,57871,0,4834348345,49,170,1.74882052432033,1.44223036350268,0.773381536171133,3.08366680586046
