	#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id	Taxonomy
2	GCF_000001635.27	PRJNA169	na	na	reference genome	10090	10090	Mus musculus	strain=C57BL/6J	na	latest	Chromosome	Major	Full	2020/06/24	GRCm39	Genome Reference Consortium	GCA_000001635.9	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.27_GRCm39	na	na	na	haploid	vertebrate_mammalian	2728206152	2654605538	42.0	21	101	21254	NCBI RefSeq	GCF_000001635.27-RS_2024_02	2024-02-01	50763	22198	17705	12954771;19468303;21750661	Mammals
29	GCF_000003025.6	PRJNA28993	SAMN02953785	AEMK00000000.2	reference genome	9823	9823	Sus scrofa	breed=Duroc	TJ Tabasco	latest	Chromosome	Major	Full	2017/02/07	Sscrofa11.1	The Swine Genome Sequencing Consortium (SGSC)	GCA_000003025.6	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/025/GCF_000003025.6_Sscrofa11.1	na	na	na	haploid	vertebrate_mammalian	2501895775	2472031134	42.0	20	705	1307	NCBI RefSeq	NCBI Sus scrofa Annotation Release 106	2017-05-03	30371	20666	6484	10433971;32543654	Mammals
1917	GCF_000165445.2	PRJNA285159	SAMN06275470	ABDC00000000.3	reference genome	30608	30608	Microcebus murinus	na	mixed	latest	Chromosome	Major	Full	2017/02/06	Mmur_3.0	Baylor College of Medicine	GCA_000165445.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/445/GCF_000165445.2_Mmur_3.0	na	na	na	haploid	vertebrate_mammalian	2487392024	2386304861	41.0	33	7677	50982	NCBI RefSeq	NCBI Microcebus murinus Annotation Release 101	2017-02-15	31964	20522	7166	27158869	Mammals
4373	GCF_000247795.1	PRJNA360096	SAMN02953802	AGFL00000000.1	reference genome	9915	9915	Bos indicus	breed=Nelore	QUIL7308	latest	Chromosome	Major	Full	2014/11/25	Bos_indicus_1.0	Genoa Biotecnologia SA   	GCA_000247795.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/795/GCF_000247795.1_Bos_indicus_1.0	na	na	na	haploid	vertebrate_mammalian	2673949103	2475812658	41.5	31	31	253769	NCBI RefSeq	NCBI Bos indicus Annotation Release 100	2017-01-04	26229	19786	2804	22315242	Mammals
7126	GCF_000317375.1	PRJNA210839	SAMN00727831	AHZW00000000.1	reference genome	79684	79684	Microtus ochrogaster	na	Prairie Vole_2	latest	Chromosome	Major	Full	2012/12/07	MicOch1.0	Broad Institute	GCA_000317375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/375/GCF_000317375.1_MicOch1.0	na	na	na	haploid	vertebrate_mammalian	2287340943	2104321675	42.5	29	6450	187012	NCBI RefSeq	NCBI Microtus ochrogaster Annotation Release 102	2018-10-12	26397	20077	2350	na	Mammals
61731	GCF_001704415.2	PRJNA340281	SAMN03863711	LWLT00000000.1	reference genome	9925	9925	Capra hircus	breed=San Clemente	na	latest	Chromosome	Minor	Full	2016/08/24	ARS1.2	USDA ARS	GCA_001704415.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/704/415/GCF_001704415.2_ARS1.2	na	na	na	haploid	vertebrate_mammalian	2922600443	2922562256	43.0	30	29885	29885	NCBI RefSeq	NCBI Capra hircus Annotation Release 102	2021-05-24	28911	20572	4035	20540682	Mammals
71882	GCF_002007445.2	PRJNA633539	SAMN04193337	LNAT00000000.2	reference genome	9646	9646	Ailuropoda melanoleuca	na	Jingjing	latest	Chromosome	Minor	Full	2020/04/20	ASM200744v3	Institute of Zoology, Chinese Academy of Sciences	GCA_002007445.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/445/GCF_002007445.2_ASM200744v3	na	na	na	haploid	vertebrate_mammalian	2440260518	2393570281	41.5	21	73513	73513	NCBI RefSeq	NCBI Ailuropoda melanoleuca Annotation Release 103	2021-05-24	31335	20837	6778	31810476;17499457;28096377	Mammals
79677	GCF_002201575.2	PRJNA392091	SAMN06841387	NINY00000000.2	reference genome	29088	29088	Neomonachus schauinslandi	na	na	latest	Chromosome	Major	Full	2021/10/20	ASM220157v2	Johns Hopkins University	GCA_002201575.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/201/575/GCF_002201575.2_ASM220157v2	na	na	na	haploid	vertebrate_mammalian	2419443398	2376537768	41.5	18	8094	8094	NCBI RefSeq	NCBI Neomonachus schauinslandi Annotation Release 101	2021-10-28	27736	19838	3122	na	Mammals
82119	GCF_002263795.3	PRJNA450837	na	NKLS00000000.2	reference genome	9913	9913	Bos taurus	breed=Hereford	L1 Dominette 01449 registration number 42190680	latest	Chromosome	Major	Full	2023/07/01	ARS-UCD2.0	USDA ARS	GCA_002263795.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/795/GCF_002263795.3_ARS-UCD2.0	na	na	na	haploid	vertebrate_mammalian	2770669782	2770641620	42.0	31	1957	1957	NCBI RefSeq	GCF_002263795.3-RS_2023_09	2023-09-28	37073	21667	10714	na	Mammals
91486	GCF_002776525.5	PRJNA419387	SAMN07735529	PDMG00000000.3	reference genome	591936	591936	Piliocolobus tephrosceles	na	RC106	latest	Chromosome	Minor	Full	2019/12/12	ASM277652v5	University of Oregon	GCA_002776525.5	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/776/525/GCF_002776525.5_ASM277652v5	na	na	na	haploid	vertebrate_mammalian	2993041957	2905229788	41.0	23	32287	32287	NCBI RefSeq	NCBI Piliocolobus tephrosceles Annotation Release 102	2019-12-30	35364	21528	6570	na	Mammals
93268	GCF_002837175.3	PRJNA434122	SAMN07836523	PGGR00000000.2	reference genome	9755	9755	Physeter catodon	na	SW-GA	latest	Chromosome	Minor	Full	2023/02/28	ASM283717v5	BGI	GCA_002837175.5	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/837/175/GCF_002837175.3_ASM283717v5	na	na	na	haploid	vertebrate_mammalian	2496209109	2391296343	41.5	21	12168	133554	NCBI RefSeq	GCF_002837175.3-RS_2023_04	2023-04-05	29662	20411	5865	10835487	Mammals
94160	GCF_002863925.1	PRJNA19129	SAMN02953672	PJAA00000000.1	reference genome	9796	9796	Equus caballus	breed=thoroughbred	Twilight	latest	Chromosome	Major	Full	2018/01/05	EquCab3.0	University of Louisville	GCA_002863925.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/863/925/GCF_002863925.1_EquCab3.0	na	na	na	haploid	vertebrate_mammalian	2506949475	2497514011	41.5	32	4700	4700	NCBI RefSeq	GCF_002863925.1-RS_2024_08	2024-08-01	33687	20955	8909	15475160;7958969;15008398	Mammals
105495	GCF_003254725.2	PRJNA477859	SAMN09397198	QKWQ00000000.2	reference genome	286419	9612	Canis lupus dingo	na	Sandy	latest	Chromosome	Major	Full	2020/09/11	ASM325472v2	James Cook University	GCA_003254725.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/725/GCF_003254725.2_ASM325472v2	na	na	na	haploid	vertebrate_mammalian	2349862946	2349829267	41.0	39	159	159	NCBI RefSeq	NCBI Canis lupus dingo Annotation Release 102	2022-06-24	40364	20775	14803	35452284	Mammals
105536	GCF_003255815.1	PRJNA477372	SAMN09197221	QGDE00000000.1	reference genome	9565	9565	Theropithecus gelada	na	Dixy	latest	Chromosome	Major	Full	2018/06/19	Tgel_1.0	Kenneth Chiou's shared submissions	GCA_003255815.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/255/815/GCF_003255815.1_Tgel_1.0	na	na	na	haploid	vertebrate_mammalian	2889614139	2842421810	41.0	22	15307	15307	NCBI RefSeq	NCBI Theropithecus gelada Annotation Release 100	2018-06-26	32585	20683	4945	19321426;35332281	Mammals
