	filename_assembly	assembly_name	refseq_assembly_accession	spanned_gaps	unspanned_gaps	scaffold_count	scaffold_N50	contig_count	contig_N50	total_gap_length	gc_perc
0	GCF_000001635.27_GRCm39_assembly_stats.txt	"GRCm39
"	"GCF_000001635.27
"	"204
"	"143
"	"102
"	"106145001
"	"306
"	"59462871
"	"73600614
"	"42
"
1	GCF_000002035.6_GRCz11_assembly_stats.txt	"GRCz11
"	"GCF_000002035.6
"	"17835
"	"925
"	"2848
"	"4737936
"	"20680
"	"854399
"	"4691662
"	"36.5
"
2	GCF_000002425.4_Phypa_V3_assembly_stats.txt	"PhypaV3
"	"GCF_000002425.4
"	"2643
"	"0
"	"359
"	"17435539
"	"3002
"	"465069
"	"5980520
"	"33.5
"
3	GCF_000002775.5_P.trichocarpa_v4.1_assembly_stats.txt	"P.trichocarpa_v4.1
"	"GCF_000002775.5
"	"0
"	"59
"	"106
"	"13159747
"	"106
"	"13159747
"	"590000
"	"34
"
4	GCF_000003025.6_Sscrofa11.1_assembly_stats.txt	"Sscrofa11.1
"	"GCF_000003025.6
"	"413
"	"93
"	"706
"	"88231837
"	"1118
"	"48231277
"	"29864641
"	"42
"
5	GCF_000003195.3_Sorghum_bicolor_NCBIv3_assembly_stats.txt	"Sorghum_bicolor_NCBIv3
"	"GCF_000003195.3
"	"3906
"	"0
"	"869
"	"68658214
"	"4775
"	"1310030
"	"33371430
"	"44
"
6	GCF_000004075.3_Cucumber_9930_V3_assembly_stats.txt	"Cucumber_9930_V3
"	"GCF_000004075.3
"	"89
"	"0
"	"88
"	"31125843
"	"177
"	"8937712
"	"36170
"	"33
"
7	GCF_000004515.6_Glycine_max_v4.0_assembly_stats.txt	"Glycine_max_v4.0
"	"GCF_000004515.6
"	"8852
"	"64
"	"347
"	"20441467
"	"9199
"	"418909
"	"25908896
"	"34.5
"
8	GCF_000005505.3_Brachypodium_distachyon_v3.0_assembly_stats.txt	"Brachypodium_distachyon_v3.0
"	"GCF_000005505.3
"	"21
"	"4
"	"15
"	"30223662
"	"36
"	"21988513
"	"423958
"	"46.5
"
9	GCF_000146605.3_Turkey_5.1_assembly_stats.txt	"Turkey_5.1
"	"GCF_000146605.3
"	"62525
"	"2520
"	"187695
"	"3898092
"	"250220
"	"27076
"	"35294427
"	"41.5
"
10	GCF_000147395.1_OglaRS2_assembly_stats.txt	"OglaRS2
"	"GCF_000147395.1
"	"0
"	"13
"	"73
"	"15217274
"	"73
"	"15217274
"	"1300
"	"43
"
11	GCF_000165445.2_Mmur_3.0_assembly_stats.txt	"Mmur_3.0
"	"GCF_000165445.2
"	"43306
"	"0
"	"7678
"	"108171978
"	"50984
"	"210702
"	"101087183
"	"41
"
12	GCF_000184155.1_FraVesHawaii_1.0_assembly_stats.txt	"FraVesHawaii_1.0
"	"GCF_000184155.1
"	"13431
"	"0
"	"3048
"	"27879571
"	"16479
"	"28051
"	"12334773
"	"38.5
"
13	GCF_000188115.5_SL3.1_assembly_stats.txt	"SL3.1
"	"GCF_000188115.5
"	"19460
"	"0
"	"3066
"	"66723567
"	"22526
"	"133429
"	"81317872
"	"34
"
14	GCF_000208745.1_Criollo_cocoa_genome_V2_assembly_stats.txt	"Criollo_cocoa_genome_V2
"	"GCF_000208745.1
"	"7312
"	"0
"	"431
"	"36364294
"	"7743
"	"87439
"	"18499634
"	"34
"
15	GCF_000231095.2_ObraRS2_assembly_stats.txt	"ObraRS2
"	"GCF_000231095.2
"	"0
"	"14
"	"74
"	"11392507
"	"74
"	"11392507
"	"1400
"	"41.5
"
16	GCF_000238955.4_M_zebra_UMD2a_assembly_stats.txt	"M_zebra_UMD2a
"	"GCF_000238955.4
"	"641
"	"0
"	"1690
"	"32660920
"	"2331
"	"1407748
"	"64100
"	"41
"
17	GCF_000247795.1_Bos_indicus_1.0_assembly_stats.txt	"Bos_indicus_1.0
"	"GCF_000247795.1
"	"253738
"	"0
"	"32
"	"106310653
"	"253770
"	"28375
"	"198136445
"	"41.5
"
